kind,id,key,text,status,existing_size,generated_size
vocab,foso,foso,foso,ok,42284,42284
vocab,fosto,fosto,fosto,ok,46844,46844
vocab,fotelo,fotelo,fotelo,ok,49244,49244
vocab,foti,foti,foti,ok,42044,42044
vocab,fotografi,fotografi,fotografi,ok,60044,60044
vocab,frago,frago,frago,ok,41084,41084
vocab,frakasi,frakasi,frakasi,ok,61244,61244
vocab,frakcio,frakcio,frakcio,ok,60524,60524
vocab,frako,frako,frako,ok,42764,42764
vocab,frambo,frambo,frambo,ok,44684,44684
vocab,frandi,frandi,frandi,ok,46604,46604
vocab,frapi,frapi,frapi,ok,39404,39404
vocab,frato,frato,frato,ok,43724,43724
vocab,frauxlo,frauxlo,fraŭlo,ok,46844,46844
vocab,frazo,frazo,frazo,ok,43004,43004
vocab,fremda,fremda,fremda,ok,44204,44204
vocab,freneza,freneza,freneza,ok,52604,52604
vocab,fresxa,fresxa,freŝa,ok,43244,43244
vocab,fripono,fripono,fripono,ok,51884,51884
vocab,friti,friti,friti,ok,41564,41564
vocab,frizi,frizi,frizi,ok,43964,43964
vocab,fromagxo,fromagxo,fromaĝo,ok,52124,52124
vocab,fronto,fronto,fronto,ok,48524,48524
vocab,frosto,frosto,frosto,ok,48284,48284
vocab,froti,froti,froti,ok,43724,43724
vocab,frua,frua,frua,ok,37244,37244
vocab,frue,frue,frue,ok,36284,36284
vocab,frukto,frukto,frukto,ok,45404,45404
vocab,frunto,frunto,frunto,ok,46844,46844
vocab,fugxi,fugxi,fuĝi,ok,40124,40124
vocab,fulgo,fulgo,fulgo,ok,40124,40124
vocab,fulmo,fulmo,fulmo,ok,40604,40604
vocab,fumo,fumo,fumo,ok,37004,37004
vocab,fundamento,fundamento,fundamento,ok,64364,64364
vocab,fundo,fundo,fundo,ok,40844,40844
vocab,funebro,funebro,funebro,ok,47804,47804
vocab,funelo,funelo,funelo,ok,48044,48044
vocab,fungo,fungo,fungo,ok,41084,41084
vocab,funkcio,funkcio,funkcio,ok,58844,58844
vocab,funto,funto,funto,ok,45404,45404
vocab,furagxo,furagxo,furaĝo,ok,49004,49004
vocab,furioza,furioza,furioza,ok,55244,55244
vocab,fusxi,fusxi,fuŝi,ok,42044,42044
vocab,futbalo,futbalo,futbalo,ok,54524,54524
vocab,gaja,gaja,gaja,ok,37004,37004
vocab,gajni,gajni,gajni,ok,42044,42044
vocab,galo,galo,galo,ok,36764,36764
vocab,galosxo,galosxo,galoŝo,ok,50444,50444
vocab,gambo,gambo,gambo,ok,38444,38444
vocab,ganto,ganto,ganto,ok,43004,43004
vocab,garagxo,garagxo,garaĝo,ok,47324,47324
vocab,garantii,garantii,garantii,ok,59564,59564
vocab,garbo,garbo,garbo,ok,37964,37964
vocab,gardi,gardi,gardi,ok,40604,40604
vocab,garni,garni,garni,ok,41564,41564
vocab,gaso,gaso,gaso,ok,40364,40364
vocab,gasto,gasto,gasto,ok,42764,42764
vocab,gastronomio,gastronomio,gastronomio,ok,69644,69644
vocab,gazeto,gazeto,gazeto,ok,49484,49484
vocab,ge,ge,ge-,ok,22604,22604
vocab,gelateno,gelateno,gelateno,ok,58844,58844
vocab,generacio,generacio,generacio,ok,62684,62684
vocab,generalo,generalo,generalo,ok,53804,53804
vocab,genio,genio,genio,ok,44684,44684
vocab,gento,gento,gento,ok,43004,43004
vocab,genuo,genuo,genuo,ok,44684,44684
vocab,geografio,geografio,geografio,ok,60044,60044
vocab,gesti,gesti,gesti,ok,45164,45164
vocab,gesto,gesto,gesto,ok,42764,42764
vocab,gicxeto,gicxeto,giĉeto,ok,47804,47804
vocab,giganto,giganto,giganto,ok,50444,50444
vocab,gimnastiko,gimnastiko,gimnastiko,ok,63884,63884
vocab,gimnazio,gimnazio,gimnazio,ok,55244,55244
vocab,girlando,girlando,girlando,ok,51404,51404
vocab,gitaro,gitaro,gitaro,ok,47564,47564
vocab,glacio,glacio,glacio,ok,51164,51164
vocab,gladi,gladi,gladi,ok,38444,38444
vocab,glaso,glaso,glaso,ok,43244,43244
vocab,glata,glata,glata,ok,42764,42764
vocab,glavo,glavo,glavo,ok,39404,39404
vocab,gliti,gliti,gliti,ok,40124,40124
vocab,globo,globo,globo,ok,39164,39164
vocab,glori,glori,glori,ok,39164,39164
vocab,gloro,gloro,gloro,ok,37004,37004
vocab,glui,glui,glui,ok,37484,37484
vocab,gluo,gluo,gluo,ok,35564,35564
vocab,gluti,gluti,gluti,ok,40124,40124
vocab,gobio,gobio,gobio,ok,43964,43964
vocab,golfo,golfo,golfo,ok,41804,41804
vocab,gorgxo,gorgxo,gorĝo,ok,40364,40364
vocab,gracia,gracia,gracia,ok,51164,51164
vocab,grado,grado,grado,ok,39644,39644
